ahsap_dograma,aidat,alarm,ankastre_mutfak,arka_cephe,asansor,avrasya_tuneli_ne_yakin,bahceli,balkon,banyo_sayisi,barbeku,beyaz_esyali,bina_yasi,bogaz_koprulerine_yakin,brut_m2,bulundugu_kat,cadde_uzerinde,caddeye_yakin,cam_mozaik_kaplama,camasir_odasi,celik_kapi,deniz_ulasimina_yakin,denize_sifir,denize_yakin,depozito,dusakabin,duvar_kagidi,e_5_e_yakin,ebeveyn_banyolu,esya_durumu,fitness,giyinme_odasi,gomme_dolap,goruntulu_diafon,guvenlik,hali_kaplama,havaalanina_yakin,hazir_mutfak,hidrofor,hilton_banyo,il,ilce,isi_yalitim,isicam,isinma_tipi,jakuzi,jenerator,kablo_tv_uydu,kapali_balkon,kapici,kartonpiyer,kat_sayisi,kira_getirisi,klima,krediye_uygunluk,kullanim_durumu,laminant_mutfak,mahalle,manzara,manzara_bogaz,manzara_deniz,manzara_doga,manzara_gol,manzara_sehir,marley,marmaraya_yakin,merkezde,mermer_zemin,metrobuse_yakin,metroya_yakin,minibus_dolmusa_yakin,mobilyali,mutfak_dogalgazi,net_m2,oda_sayisi,on_cephe,otobana_yakin,otopark_acik,otopark_kapali,oyun_parki,panel_kapi,panjur,parke,parke_laminant,parke_lamine,pvc_dograma,salon_sayisi,saten_alci,saten_boya,sauna,seramik_zemin,siding,site_icerisinde,somine,son_guncelleme_tarihi,spot_isik,su_deposu,takas,tapu_durumu,tem_e_yakin,tenis_kortu,teras,toplu_ulasima_yakin,tramvaya_yakin,vestiyer,yakit_tipi,yangin_merdiveni,yapi_tipi,yapinin_durumu,yerden_isitma,yuzme_havuzu,kuzey_cephe,guney_cephe,dogu_cephe,bati_cephe,fiyat
0,1,1,0,0,0,0,1,1,2,0,0,7,0,85,2,1,1,0,0,1,1,0,1,5542,1,0,0,1,False,0,1,0,0,1,0,0,0,0,0,61,didim,1,1,klima,0,0,1,0,0,0,4,2000,1,1,0,0,efeler,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,70,2,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,8,0,0,0,1,0,0,0,1,0,0,elektrik,0,betonarme,0,0,1,0,1,1,0,475000
0,100,0,0,0,0,0,0,0,1,0,0,10,0,160,9,1,1,0,0,0,0,0,0,5542,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,66,melikgazi,0,0,merkezi,0,0,0,0,0,0,13,800,0,1,0,0,bahcelievler,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,130,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,79,0,0,0,1,0,0,0,1,1,0,dogalgaz,0,betonarme,0,0,0,0,1,1,0,260000
0,119,0,0,0,0,0,0,0,1,0,0,2,0,70,3,0,0,0,0,0,0,0,0,5542,0,0,0,0,True,0,0,0,0,0,0,0,0,0,0,67,yunusemre,0,0,kombi,0,0,0,0,0,0,11,1600,0,1,1,0,guzelyurt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,1,0,0,0,0,0,0,dogalgaz,0,betonarme,0,0,0,0,0,0,0,389000
0,119,0,0,0,0,0,0,0,1,0,0,8,0,120,2,0,0,0,0,0,0,0,0,5542,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,76,alanya,0,0,klima,0,0,0,0,0,0,4,3608,0,1,0,0,oba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,yok,0,betonarme,1,0,0,0,1,0,1,585000
0,119,0,0,0,1,0,0,1,1,0,0,0,0,80,0,1,0,0,0,1,0,0,0,5542,1,0,0,0,False,0,0,0,0,0,0,0,0,1,1,80,umraniye,1,0,kombi,0,0,1,0,0,1,6,3608,0,1,0,0,istiklal,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,70,2,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,126,0,1,0,1,0,0,0,1,0,0,dogalgaz,0,betonarme,1,0,0,0,1,0,1,385000
0,119,0,0,0,0,0,0,0,1,0,0,25,0,130,1,0,0,0,0,0,0,0,0,5542,0,0,0,0,True,0,0,0,0,0,0,0,0,0,0,80,adalar,0,0,kombi,0,0,0,0,0,0,1,3608,0,1,0,0,nizam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,0,0,0,1,0,0,0,0,0,0,dogalgaz,0,betonarme,1,0,0,0,0,0,0,1750000
0,1,0,0,0,0,0,0,0,2,0,0,20,0,180,4,0,0,0,0,0,0,0,0,5542,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,78,narlidere,0,0,kombi,0,0,0,0,0,0,4,3608,0,1,1,0,catalkaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,124,0,0,0,1,0,0,0,0,0,0,dogalgaz,0,betonarme,0,0,0,1,1,1,0,850000
0,119,0,0,0,0,0,0,1,1,0,0,26,0,125,4,0,1,0,0,1,0,0,1,5542,1,0,0,0,False,0,0,0,0,0,0,0,1,0,0,77,gemlik,1,0,kombi,0,0,0,0,0,0,4,3608,0,1,0,0,esref dincer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,3,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,38,0,0,0,1,0,0,0,1,0,0,dogalgaz,0,betonarme,0,0,0,1,1,0,0,200000
0,80,0,0,0,0,0,0,0,2,0,0,4,0,101,0,0,0,0,0,0,0,0,0,5542,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,79,mamak,0,0,kombi,0,0,0,0,0,0,5,750,0,1,2,0,durali alic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,209,0,0,1,1,0,0,0,0,0,0,dogalgaz,0,betonarme,0,0,0,0,0,0,0,165000
0,40,0,0,0,0,0,0,0,1,0,0,40,0,80,4,0,0,0,0,0,0,0,0,5542,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,80,sisli,0,0,kombi,0,0,0,0,0,0,6,2000,0,1,0,0,eskisehir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,126,0,0,0,1,0,0,0,0,0,0,dogalgaz,0,betonarme,0,0,0,0,0,1,1,385000
