ahsap_dograma,aidat,alarm,ankastre_mutfak,arka_cephe,asansor,avrasya_tuneli_ne_yakin,bahceli,balkon,banyo_sayisi,barbeku,beyaz_esyali,bina_yasi,bogaz_koprulerine_yakin,brut_m2,bulundugu_kat,cadde_uzerinde,caddeye_yakin,cam_mozaik_kaplama,camasir_odasi,celik_kapi,deniz_ulasimina_yakin,denize_sifir,denize_yakin,depozito,dusakabin,duvar_kagidi,e_5_e_yakin,ebeveyn_banyolu,esya_durumu,fitness,giyinme_odasi,gomme_dolap,goruntulu_diafon,guvenlik,hali_kaplama,havaalanina_yakin,hazir_mutfak,hidrofor,hilton_banyo,il,ilce,isi_yalitim,isicam,isinma_tipi,jakuzi,jenerator,kablo_tv_uydu,kapali_balkon,kapici,kartonpiyer,kat_sayisi,kira_getirisi,klima,krediye_uygunluk,kullanim_durumu,laminant_mutfak,mahalle,manzara,manzara_bogaz,manzara_deniz,manzara_doga,manzara_gol,manzara_sehir,marley,marmaraya_yakin,merkezde,mermer_zemin,metrobuse_yakin,metroya_yakin,minibus_dolmusa_yakin,mobilyali,mutfak_dogalgazi,net_m2,oda_sayisi,on_cephe,otobana_yakin,otopark_acik,otopark_kapali,oyun_parki,panel_kapi,panjur,parke,parke_laminant,parke_lamine,pvc_dograma,salon_sayisi,saten_alci,saten_boya,sauna,seramik_zemin,siding,site_icerisinde,somine,son_guncelleme_tarihi,spot_isik,su_deposu,takas,tapu_durumu,tem_e_yakin,tenis_kortu,teras,toplu_ulasima_yakin,tramvaya_yakin,vestiyer,yakit_tipi,yangin_merdiveni,yapi_tipi,yapinin_durumu,yerden_isitma,yuzme_havuzu,kuzey_cephe,guney_cephe,dogu_cephe,bati_cephe,fiyat
0,119,0,0,0,1,0,0,1,2,0,0,0,0,130,3,0,0,0,0,1,0,0,0,5542,1,0,0,1,False,0,0,0,1,0,0,0,0,0,0,77,nilufer,0,0,kombi,0,0,0,0,0,0,4,3608,0,1,0,0,akcalar,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,110,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,15,0,0,1,1,0,0,0,0,0,0,dogalgaz,0,betonarme,1,1,1,0,0,0,0,385000
0,50,0,0,0,1,0,1,1,1,0,0,14,0,125,2,0,1,0,0,1,0,0,0,5542,1,0,0,0,False,0,0,0,0,0,0,0,1,0,1,79,cankaya,0,0,kombi,0,0,1,0,0,1,7,1300,0,1,0,0,akpinar,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,120,3,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,11,0,0,0,1,0,0,0,1,0,0,dogalgaz,0,betonarme,0,0,0,1,0,1,0,410000
0,119,0,0,0,1,0,1,0,2,0,0,0,0,50,21,0,0,0,1,1,0,0,0,5542,0,1,0,1,False,0,1,1,1,1,0,0,0,1,1,79,cankaya,1,1,merkezi,0,1,0,1,1,1,32,8500,0,1,0,0,sogutozu,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,12,0,1,0,1,0,0,0,1,0,1,dogalgaz,1,betonarme,1,0,0,1,1,0,1,2750000
0,250,0,1,0,1,0,0,1,3,0,0,4,0,0,11,0,0,0,0,1,0,0,0,5542,1,0,0,1,False,0,0,1,1,0,0,0,0,0,1,80,kadikoy,1,1,kombi,0,1,1,0,0,1,11,3608,0,1,0,0,suadiye,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,155,3,1,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,22,0,0,0,1,0,0,1,1,0,0,dogalgaz,0,betonarme,0,0,0,0,1,0,0,2995000
0,119,0,1,0,0,1,0,0,1,0,0,31,0,85,0,1,1,0,0,1,1,0,1,5542,1,0,1,0,False,0,0,0,1,0,0,0,0,1,1,80,kadikoy,0,1,kombi,0,0,1,0,1,0,3,3608,0,1,1,0,feneryolu,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,70,2,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,7,1,1,0,1,0,0,0,1,0,1,dogalgaz,0,betonarme,0,0,0,0,1,0,0,795000
1,150,1,1,0,1,0,1,1,2,0,0,1,0,160,4,1,0,0,0,1,0,0,0,5542,1,1,0,1,False,0,0,1,1,1,0,0,0,1,0,69,kayapinar,1,0,merkezi,0,1,1,0,1,1,11,1500,0,1,2,0,firat,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,150,3,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,10,1,1,0,1,0,0,0,1,0,1,dogalgaz,1,betonarme,0,1,0,0,0,0,0,410000
0,40,0,0,1,1,0,0,1,1,0,0,1,0,155,6,0,0,0,0,1,0,0,0,5542,0,0,0,0,False,0,0,0,1,0,0,0,0,0,0,66,kocasinan,1,0,kombi,0,0,1,0,0,1,6,1100,0,1,0,0,fevzi cakmak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,135,3,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,5,0,0,1,1,0,0,0,1,0,0,dogalgaz,0,betonarme,1,0,0,1,1,1,1,445000
0,119,0,1,0,1,0,1,1,2,0,0,10,0,0,4,0,1,0,0,1,0,0,0,5542,1,0,0,0,False,0,1,1,0,0,0,0,1,0,1,14,merkez,1,1,kombi,0,0,1,0,0,1,4,1500,0,1,0,0,alacasuluk,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,5,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,16,0,0,0,1,0,0,1,1,0,1,dogalgaz,0,betonarme,0,0,0,0,1,1,1,625000
0,119,0,0,0,0,0,1,1,2,0,0,1,0,160,2,0,1,0,0,1,0,0,0,5542,1,0,0,0,False,0,0,0,0,0,0,0,0,0,0,61,didim,1,1,klima,0,0,0,0,0,1,3,1500,0,1,0,0,hisar,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,130,3,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,14,1,0,0,1,0,0,0,1,0,0,elektrik,0,betonarme,1,0,0,1,0,0,1,470000
0,150,0,1,0,1,0,1,1,1,0,0,2,0,90,0,0,1,0,0,1,0,0,0,5542,1,0,0,0,False,0,0,0,0,1,0,0,0,1,1,61,kusadasi,1,1,klima,0,0,1,0,0,1,4,1200,0,1,0,0,davutlar,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,80,2,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,11,1,0,0,1,0,0,0,1,0,0,elektrik,0,betonarme,0,0,1,1,0,1,1,435000
